meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Muscletown USA Classic,2019-08-24,Open Men's 102kg,Jacob Miller,99.84,132,135,-138,161,-166,-166,135,161,296
Muscletown USA Classic,2019-08-24,Open Men's 89kg,Jacob Green,88.99,122,127,-130,155,163,-166,127,163,290
Muscletown USA Classic,2019-08-24,Open Men's +109kg,James Rowell,109.5,115,-120,-123,155,-160,-160,115,155,270
Muscletown USA Classic,2019-08-24,Open Men's 81kg,Willie Day,76.11,114,118,-121,142,-145,-146,118,142,260
Muscletown USA Classic,2019-08-24,Open Men's 102kg,Austin Noll,98.66,-108,108,-110,145,148,-151,108,148,256
Muscletown USA Classic,2019-08-24,Open Men's 73kg,Christopher Hernandez,72.89,105,-108,108,133,140,-146,108,140,248
Muscletown USA Classic,2019-08-24,Open Men's 89kg,David Helterbran,84.12,88,-96,96,125,-130,130,96,130,226
Muscletown USA Classic,2019-08-24,Open Men's 89kg,Christopher Richelderfer,87.4,91,-96,96,125,130,-135,96,130,226
Muscletown USA Classic,2019-08-24,Open Men's 73kg,Jonathan Kollars,71.79,85,89,93,107,112,-117,93,112,205
Muscletown USA Classic,2019-08-24,Open Men's 102kg,Miguel Alava,99.21,-90,90,-95,-110,113,-120,90,113,203
Muscletown USA Classic,2019-08-24,Open Men's 81kg,Brendan MacFarlane,79.36,83,86,89,108,113,-116,89,113,202
Muscletown USA Classic,2019-08-24,Open Women's 76kg,Sylvia Hoffman,74.51,80,-85,87,100,106,113,87,113,200
Muscletown USA Classic,2019-08-24,Open Men's 81kg,Wenqin Gan,77.21,-88,88,92,-98,98,103,92,103,195
Muscletown USA Classic,2019-08-24,Junior Men's 81kg,George Vega,78.14,78,82,85,-100,100,107,85,107,192
Muscletown USA Classic,2019-08-24,Open Men's 89kg,Robert Malkin,86.62,77,-82,-87,-88,88,-94,77,88,165
Muscletown USA Classic,2019-08-24,Open Women's 71kg,Shoshana Mahoney,70.56,63,-66,-68,87,90,-95,63,90,153
Muscletown USA Classic,2019-08-24,Open Women's 55kg,Elisabeth Ditcher,54.91,-65,65,67,-82,82,-84,67,82,149
Muscletown USA Classic,2019-08-24,Open Women's 76kg,Erin Garcia,74.22,59,-62,62,82,86,-90,62,86,148
Muscletown USA Classic,2019-08-24,Open Women's 76kg,Kaitlin Gregory,74.47,57,60,-63,71,75,78,60,78,138
Muscletown USA Classic,2019-08-24,Open Women's 71kg,Michelle Wagner,70.8,56,-59,60,73,76,-80,60,76,136
Muscletown USA Classic,2019-08-24,Open Men's 109kg,FRANK MIELE,107.97,133,-133,-133,-170,0,0,133,0,133
Muscletown USA Classic,2019-08-24,Open Women's +87kg,Jennifer Godin,101.55,47,50,53,64,67,70,53,70,123
Muscletown USA Classic,2019-08-24,Open Women's 71kg,Jessica Napoli,65.4,50,-53,54,63,67,-70,54,67,121
Muscletown USA Classic,2019-08-24,Open Men's 81kg,David Lovelace,78.2,-48,48,51,62,67,-70,51,67,118
Muscletown USA Classic,2019-08-24,Women's 13 Under Age Group 59kg,Kendall Link,57.15,-52,-52,52,-63,63,65,52,65,117
Muscletown USA Classic,2019-08-24,Open Women's 71kg,Brittany O'Reilly,67.62,50,-53,-53,60,-63,63,50,63,113
Muscletown USA Classic,2019-08-24,Open Women's +87kg,Tanesha Douglas,89.62,47,-50,-50,62,65,-68,47,65,112
Muscletown USA Classic,2019-08-24,Open Women's 71kg,Emily Beckhardt,67.06,47,-51,-51,-63,63,-65,47,63,110
Muscletown USA Classic,2019-08-24,Women's 14-15 Age Group 59kg,Kayley Clowdus,56.83,-43,43,47,53,57,62,47,62,109
Muscletown USA Classic,2019-08-24,Open Women's 71kg,Candice Luciani,66.6,49,-52,-53,58,-60,60,49,60,109
Muscletown USA Classic,2019-08-24,Junior Women's 59kg,Cassie Girardin,58.67,42,45,48,-53,53,56,48,56,104
Muscletown USA Classic,2019-08-24,Junior Women's 55kg,Marin Miller,50.65,44,47,-50,53,-56,56,47,56,103
Muscletown USA Classic,2019-08-24,Open Women's 76kg,Meaghan Donnelly,73.26,41,44,-47,51,54,-56,44,54,98
Muscletown USA Classic,2019-08-24,Women's Masters (40-44) 45kg,Amie West,43.95,37,39,-41,48,51,53,39,53,92
Muscletown USA Classic,2019-08-24,Junior Women's 49kg,Makayla Cogan,48.99,38,40,42,45,-49,49,42,49,91
Muscletown USA Classic,2019-08-24,Open Women's 49kg,Jessica Mesias,47.35,33,-35,-35,40,-43,-43,33,40,73
Muscletown USA Classic,2019-08-24,Women's 13 Under Age Group 40kg,Sarah Mallery,39.6,30,-32,-32,35,-37,37,30,37,67
Muscletown USA Classic,2019-08-24,Open Men's 67kg,William Mowen,66.22,-66,-66,66,-78,-78,-78,66,0,66
Muscletown USA Classic,2019-08-24,Open Men's 81kg,Jack Dluzen,73.51,46,48,-50,-66,-66,-66,48,0,48
Muscletown USA Classic,2019-08-24,Men's 13 Under Age Group 55kg,Liam Jones,52.59,-50,-50,-50,-57,0,0,0,0,0
