meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's+105 kg,Rajan Bains,116.3,108,115,120,148,154,160,120,160,280
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 85 kg,Harley Pescosolido,80.4,107,112,119,140,147,153,119,153,272
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 105 kg,David Cardoza,102.9,112,117,122,140,148,-153,122,148,270
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 85 kg,Dustin Rocha,84.1,-113,-113,113,140,145,-150,113,145,258
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 94 kg,Schad TenBroeck,85.6,-112,-112,112,145,-150,-150,112,145,257
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's+105 kg,Brian Nicklas,116.6,-100,100,-105,-125,125,130,100,130,230
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 105 kg,Miguel Prado,99.2,95,98,-100,118,121,125,98,125,223
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 94 kg,Zachary Hernandez,86.7,75,80,85,100,107,-112,85,107,192
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 69 kg,Jacqlynn Barraza,68.7,-76,76,79,-105,105,-110,79,105,184
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 77 kg,Brian Collier,73.2,80,82,84,86,89,92,84,92,176
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 90 kg,Angela Mascioli,89.1,70,73,75,93,-95,-95,75,93,168
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 77 kg,Emmanuel Garcon,76.9,75,79,81,77,80,85,81,85,166
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 63 kg,Kayli Bains,61.6,65,68,71,85,90,-94,71,90,161
Visalia Spring Lift-Off 2018,2018-05-12,Women's 14-15 Age Group 63 kg,Madilyn Espinoza,61.6,-64,64,68,89,91,-93,68,91,159
Visalia Spring Lift-Off 2018,2018-05-12,Women's 16-17 Age Group 75 kg,Toni Rocha,70,65,68,70,82,85,-87,70,85,155
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 58 kg,Ciera Ortiz,57.8,62,65,-68,80,84,-87,65,84,149
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 77 kg,Allen Smith,76.4,55,60,63,77,81,-84,63,81,144
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 62 kg,Austin Prosser,61.9,57,-60,60,78,81,82,60,82,142
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 75 kg,Amber Prado,74.7,-60,60,63,73,75,78,63,78,141
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 58 kg,Hannah Sarkar,56.7,47,50,53,64,67,70,53,70,123
Visalia Spring Lift-Off 2018,2018-05-12,Open Men's 94 kg,Dylan Contreras,91.7,-115,115,-120,-140,-140,-140,115,0,115
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 58 kg,Jenny Garrido,56.3,43,-45,45,52,54,56,45,56,101
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 63 kg,Genevieve Wazni,59.5,38,40,43,52,55,-57,43,55,98
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 58 kg,Laura Castro,56.2,35,38,40,50,-52,52,40,52,92
Visalia Spring Lift-Off 2018,2018-05-12,Open Women's 69 kg,Bailey Lirette,65.5,38,40,42,43,46,50,42,50,92
Visalia Spring Lift-Off 2018,2018-05-12,Men's 13 Under Age Group 50 Kg,Joshua Allen,47,15,17,20,22,24,-27,20,24,44
