meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
The Pivotal YJM,2016-01-09,Women's 16-17 Age Group 69 kg,Ashley Christacopulos,63.18,55,-60,-60,70,73,76,55,76,131
The Pivotal YJM,2016-01-09,Women's 16-17 Age Group 63 kg,Olivia Alexander,62.35,-59,-59,-59,71,75,-80,0,75,75
The Pivotal YJM,2016-01-09,Men's 14-15 Age Group 56 Kg,Max Grebenshikov,53.53,28,30,32,35,38,40,32,40,72
The Pivotal YJM,2016-01-09,Women's 14-15 Age Group 69 kg,Emma Esterbrook,68.68,60,63,-65,-73,-78,-78,63,0,63
The Pivotal YJM,2016-01-09,Men's 13 Under Age Group 50 Kg,William Manning,44.92,25,28,-30,30,-33,33,28,33,61
The Pivotal YJM,2016-01-09,Men's 13 Under Age Group 44kg,Kyle Martin Jr.,40.26,-25,25,28,28,30,32,28,32,60
The Pivotal YJM,2016-01-09,Men's 13 Under Age Group 39kg,Benjamin Vogel,36.25,22,25,26,25,27,30,26,30,56
The Pivotal YJM,2016-01-09,Women's 16-17 Age Group 58 kg,Vanessa Fillers,57.64,-52,52,53,-71,-71,-71,53,0,53
The Pivotal YJM,2016-01-09,Men's 13 Under Age Group 31 Kg,Brixton Maizels,26.57,19,22,-24,22,25,-28,22,25,47
The Pivotal YJM,2016-01-09,Men's 13 Under Age Group 31 Kg,Lazarus Joyce,27.5,10,11,12,10,11,12,12,12,24
