meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
New Haven Open,2022-05-15,Open Men's 89kg,Nguyen Huynh,88.86,130,136,141,171,176,-180,141,176,317
New Haven Open,2022-05-15,Open Men's 89kg,Ken Toal,88.53,135,-140,-141,165,0,0,135,165,300
New Haven Open,2022-05-15,Open Men's 81kg,Spencer Green,80.32,121,-126,-127,155,-160,-160,121,155,276
New Haven Open,2022-05-15,Open Men's 89kg,Kevin Sosa,87.91,110,115,118,142,-146,-146,118,142,260
New Haven Open,2022-05-15,Open Men's 89kg,Christian Tsakanikas,87.47,109,-112,112,-138,138,-143,112,138,250
New Haven Open,2022-05-15,Open Men's 89kg,Owen Cassidy,87.15,98,102,105,130,-136,136,105,136,241
New Haven Open,2022-05-15,Men's Masters (35-39) 102kg,William Hungerford,99.05,90,98,-103,130,135,-139,98,135,233
New Haven Open,2022-05-15,Men's Masters (40-44) 102kg,Steven Doughty,99.36,90,96,-106,120,125,-130,96,125,221
New Haven Open,2022-05-15,Men's Masters (40-44) 109kg,Eric Ladyga,106.53,-88,-93,93,-124,-127,127,93,127,220
New Haven Open,2022-05-15,Open Men's 89kg,Thomas Quinn,86.78,83,-88,-90,106,112,116,83,116,199
New Haven Open,2022-05-15,Open Men's 109kg,Demar Lewis,108.71,78,83,86,98,-105,110,86,110,196
New Haven Open,2022-05-15,Open Men's 73kg,Christopher Gaylor,70.92,80,83,-86,-106,-106,106,83,106,189
New Haven Open,2022-05-15,Open Women's 64kg,Michelle Yiznitsky,63.54,-72,73,76,-101,101,106,76,106,182
New Haven Open,2022-05-15,Women's Masters (35-39) 76kg,Aletheia Stratos,74.3,-71,71,74,91,95,-98,74,95,169
New Haven Open,2022-05-15,Open Women's 71kg,Cindy Rodriguez,70.84,69,71,-73,85,88,91,71,91,162
New Haven Open,2022-05-15,Men's Masters (55-59) 81kg,GERALD CAVALLO,80.57,68,-73,73,-88,-88,88,73,88,161
New Haven Open,2022-05-15,Open Women's 76kg,Jennifer Stow,74.48,-58,58,64,84,90,-95,64,90,154
New Haven Open,2022-05-15,Women's Masters (35-39) 55kg,Jessica Gilmore,54.65,63,66,-68,81,-84,-84,66,81,147
New Haven Open,2022-05-15,Men's Masters (55-59) 89kg,David Rothberg,84.74,55,58,61,70,77,-84,61,77,138
New Haven Open,2022-05-15,Open Women's 59kg,Josie Bircher,58.67,52,55,58,68,71,74,58,74,132
New Haven Open,2022-05-15,Junior Women's 55kg,Madeline Greenhaw,54.48,51,54,56,69,72,75,56,75,131
New Haven Open,2022-05-15,Women's Masters (35-39) 71kg,Stephanie Doyle,69.63,50,52,54,72,74,76,54,76,130
New Haven Open,2022-05-15,Open Women's 59kg,Shannon Palumbo ,59,48,51,55,67,72,-78,55,72,127
New Haven Open,2022-05-15,Open Women's 81kg,Delaney McGovern,78.78,-55,-55,55,68,-70,70,55,70,125
New Haven Open,2022-05-15,Open Women's 71kg,Alexandra Bakovic,69.44,47,50,-53,65,69,72,50,72,122
New Haven Open,2022-05-15,Men's Masters (40-44) 96kg,Joel Quintong,95.37,-90,-91,-93,115,120,-125,0,120,120
New Haven Open,2022-05-15,Women's Masters (45-49) +87kg,Melissa Walsh,103.68,45,47,-49,61,64,-67,47,64,111
New Haven Open,2022-05-15,Women's Masters (40-44) 71kg,Kirsten Spargo,68.71,43,-46,46,52,55,58,46,58,104
New Haven Open,2022-05-15,Men's Masters (35-39) 96kg,Dan Yeadon,91.98,-84,-84,-84,97,102,104,0,104,104
New Haven Open,2022-05-15,Women's Masters (45-49) 71kg,Catherine Colon,66.23,33,36,-40,48,52,55,36,55,91
New Haven Open,2022-05-15,Open Women's 71kg,Kerry Burns,67.28,33,35,-37,44,47,50,35,50,85
New Haven Open,2022-05-15,Men's 14-15 Age Group 55kg,Nathan Combs,53.65,-43,-43,43,-62,-62,-42,43,0,43
