meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 105 kg,Jake Servis,94.95,120,130,-137,140,145,155,130,155,285
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's+105 kg,William Book,113.7,112,117,122,150,155,162,122,162,284
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 105 kg,Jason Sneed,97.7,125,126,-130,143,150,-154,126,150,276
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 94 kg,Peter Sekalias,93.9,118,120,-126,150,156,156,120,156,276
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 85 kg,Trenton Paul,83.1,118,-122,122,140,148,-152,122,148,270
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 85 kg,Patrick Mahoney,84.5,110,-120,120,140,140,-146,120,140,260
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 77 kg,Stephen Krofl,75.5,110,113,116,135,139,142,116,142,258
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 105 kg,Aniceto Ruiz,98.7,110,-115,115,140,142,-146,115,142,257
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's+105 kg,Drake Randall,126.7,114,114,117,133,-138,138,117,138,255
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's+105 kg,Daniel Kretzmann,116.4,100,105,110,140,145,-150,110,145,255
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 85 kg,Mitchell Jordan,81.3,106,111,116,130,135,137,116,137,253
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 105 kg,Drew Coffey,103.8,113,114,-120,137,137,137,114,137,251
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 77 kg,Jimmy Duke III,75.6,110,110,-115,140,-145,-145,110,140,250
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 105 kg,Terry Jackson,94.3,111,116,-121,128,132,-137,116,132,248
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 85 kg,Gavin Vansaghi,83.5,-111,111,-116,133,136,-143,111,136,247
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's+105 kg,Ian Gordy,119.3,100,-105,-105,135,140,145,100,145,245
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 94 kg,Alex Wojcik,87.6,107,113,-119,125,131,-133,113,131,244
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 85 kg,John Lee,77.9,108,109,113,125,131,-134,113,131,244
2015 IL State WL Championship & Strength Clinic,2015-03-29,Open Men's 69 kg,Joseph Roark,69,110,110,-113,125,130,-140,110,130,240
