meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Team Texas Fall Meet 2014,2014-10-25,Open Men's+105 kg,Jason Starks,144.1,160,170,171,182,190,200,171,200,371
Team Texas Fall Meet 2014,2014-10-25,Open Men's 77 kg,Ronnie Taylor,76.45,107,111,111,139,145,145,111,145,256
Team Texas Fall Meet 2014,2014-10-25,Open Men's+105 kg,David Cho,150,95,100,102,130,130,135,102,135,237
Team Texas Fall Meet 2014,2014-10-25,Open Men's 85 kg,Rafael Aguirre,82.7,90,95,97,115,120,125,97,125,222
Team Texas Fall Meet 2014,2014-10-25,Open Men's 105 kg,Tim Trahan,94,85,90,90,105,110,115,90,115,205
Team Texas Fall Meet 2014,2014-10-25,Open Men's 85 kg,Eric D'Agostino,79,75,80,80,95,100,100,80,100,180
Team Texas Fall Meet 2014,2014-10-25,Open Men's 69 kg,Ejazz Gopeechan,69,70,74,75,80,85,90,75,90,165
Team Texas Fall Meet 2014,2014-10-25,Open Men's 77 kg,Jeffrey Belyeu,77,70,75,75,80,85,85,75,85,160
Team Texas Fall Meet 2014,2014-10-25,Open Women's 75 kg,Courtney Jaekel,73,60,63,65,65,70,72,65,72,137
Team Texas Fall Meet 2014,2014-10-25,Open Women's 69 kg,Melissa Lozano,64.2,37,40,43,55,61,63,43,63,106
