meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
AO Qualifier,2016-10-21,Open Men's 94 kg,Tyler Poole,93,110,116,-120,130,135,-140,116,135,251
AO Qualifier,2016-10-21,Open Men's+105 kg,Jeremy Rutledge,115,60,70,80,80,90,100,80,100,180
AO Qualifier,2016-10-21,Open Men's+105 kg,Jeff Mincher,112,70,75,81,80,90,-112,81,90,171
AO Qualifier,2016-10-21,Open Women's +75 Kg,Cali Dodd,77.5,65,67,70,83,86,-90,70,86,156
AO Qualifier,2016-10-21,Open Men's+105 kg,Elijah Young,114,100,-123,-126,-90,-115,0,100,0,100
AO Qualifier,2016-10-21,Open Women's 58 kg,Michele Oller,58,-67,-67,67,-80,-84,-87,67,0,67
AO Qualifier,2016-10-21,Open Men's 105 kg,Alexander Skipper,94,-121,-126,-126,-150,0,0,0,0,0
