event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,Sonny Webster,91.4,142,-147,-147,180,185,-195,142,185,327
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,Owen Boxall,92.6,145,149,-152,178,-183,0,149,178,327
2015 British Senior Championships,2015-06-28,Men's Senior +105Kg,Andrew Ruegg,128.7,138,144,147,168,173,177,147,177,324
2015 British Senior Championships,2015-06-28,Men's Senior 77Kg,Jack Oliver,76.7,138,143,147,165,173,-176,147,173,320
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,Edmon avetisyan,91.8,135,140,145,170,-175,175,145,175,320
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,Luke Etheridge,91.2,-125,125,132,165,168,-175,132,168,300
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,Forrester Osei,92.6,126,131,135,152,160,165,135,165,300
2015 British Senior Championships,2015-06-28,Men's Senior 77Kg,Guy Michel Ngongang Tchuissi,76.5,120,127,-130,155,161,165,127,165,292
2015 British Senior Championships,2015-06-28,Men's Senior 105Kg,Joseph Walton,104,126,131,-135,-160,161,-169,131,161,292
2015 British Senior Championships,2015-06-28,Men's Senior 85Kg,Alex Collier,84.2,-125,125,-130,157,-161,161,125,161,286
2015 British Senior Championships,2015-06-28,Men's Senior 105Kg,Rhodri West,101.9,125,-128,-128,150,157,161,125,161,286
2015 British Senior Championships,2015-06-27,Men's Senior 85Kg,Greg Stumbles,84.2,120,125,-128,155,-160,-160,125,155,280
2015 British Senior Championships,2015-06-27,Men's Senior 85Kg,Alexander Blair,84,118,122,-125,147,152,155,122,155,277
2015 British Senior Championships,2015-06-28,Men's Senior 85Kg,dale cree,84.8,119,123,-126,140,150,-152,123,150,273
2015 British Senior Championships,2015-06-28,Men's Senior 85Kg,Lewis Ridett,84.5,-120,120,-125,152,-158,-158,120,152,272
2015 British Senior Championships,2015-06-27,Men's Senior 85Kg,Philip Eaton,84.6,120,124,127,-145,145,-150,127,145,272
2015 British Senior Championships,2015-06-28,Men's Senior 85Kg,Ian Wood,81.5,-125,125,-133,145,-150,-153,125,145,270
2015 British Senior Championships,2015-06-27,Men's Senior 62Kg,Gareth Evans,61.8,120,-122,124,145,-151,-151,124,145,269
2015 British Senior Championships,2015-06-28,Men's Senior 77Kg,Cathal Byrd,76.7,-115,115,118,150,-154,-155,118,150,268
2015 British Senior Championships,2015-06-28,Men's Senior 77Kg,Nick Cantwell,76.7,110,-115,115,140,-150,150,115,150,265
2015 British Senior Championships,2015-06-28,Men's Senior 85Kg,Fridi Ibrahimi,83.7,117,-125,-125,148,-155,-157,117,148,265
2015 British Senior Championships,2015-06-27,Men's Senior 69Kg,Christopher Freebury,68.4,115,120,-125,135,140,-145,120,140,260
2015 British Senior Championships,2015-06-28,Men's Senior 77Kg,Ivan Mihai,76.5,108,-113,113,145,-150,-150,113,145,258
2015 British Senior Championships,2015-06-27,Men's Senior 85Kg,Eddie Chambers,81.8,105,110,115,135,140,-145,115,140,255
2015 British Senior Championships,2015-06-27,Men's Senior 85Kg,Matthew Dixon,84,117,-122,-122,137,-142,-145,117,137,254
2015 British Senior Championships,2015-06-27,Men's Senior 85Kg,Calum McNamara,84.8,-110,112,-116,140,-146,-147,112,140,252
2015 British Senior Championships,2015-06-27,Men's Senior 69Kg,Craig Carfray,68.6,107,-111,-113,139,-145,-148,107,139,246
2015 British Senior Championships,2015-06-27,Men's Senior 69Kg,Louis Hampton-Jones,67.6,105,110,-112,-130,130,135,110,135,245
2015 British Senior Championships,2015-06-28,Men's Senior 77Kg,allen court,76.5,105,-110,-110,135,140,-145,105,140,245
2015 British Senior Championships,2015-06-27,Men's Senior 69Kg,Marco Cotena,68.6,105,109,-111,-127,127,-132,109,127,236
2015 British Senior Championships,2015-06-27,Men's Senior 69Kg,Ben Ross,68.4,100,-106,107,125,-130,-132,107,125,232
2015 British Senior Championships,2015-06-28,Women's Senior +90Kg,Hadiza Zakari,97.9,-103,103,-106,125,-130,-130,103,125,228
2015 British Senior Championships,2015-06-27,Men's Senior 69Kg,Hakeem Babalola,67.2,95,-100,-100,120,125,-130,95,125,220
2015 British Senior Championships,2015-06-28,Women's Senior 69Kg,Rebekah Tiler,66.2,93,97,-100,-119,-120,120,97,120,217
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Zoe Smith,63,90,93,96,114,118,-123,96,118,214
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Emily Godley,62.6,88,91,93,108,112,115,93,115,208
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Sarah Davies,62.4,-85,86,-90,110,-115,116,86,116,202
2015 British Senior Championships,2015-06-27,Men's Senior 56Kg,Samuel Henderson,55.2,88,92,-95,-105,-105,105,92,105,197
2015 British Senior Championships,2015-06-28,Women's Senior 69Kg,georgina black,65.2,76,79,-82,95,99,102,79,102,181
2015 British Senior Championships,2015-06-27,Men's Senior 56Kg,Ryan Nield,54.8,78,82,-85,95,-100,-100,82,95,177
2015 British Senior Championships,2015-06-28,Women's Senior 75Kg,Kathleen Spears,74.7,71,74,78,88,92,95,78,95,173
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Stephanie Owens,62.8,-70,70,75,-90,90,-95,75,90,165
2015 British Senior Championships,2015-06-28,Women's Senior +90Kg,Amelia Lonsbrough,124.65,65,70,-72,90,-93,93,70,93,163
2015 British Senior Championships,2015-06-28,Women's Senior 75Kg,Rayen Cupid,73.4,75,-78,-78,-85,85,-89,75,85,160
2015 British Senior Championships,2015-06-28,Women's Senior 69Kg,Isabel Rogers,67.2,70,-74,-77,-88,88,-94,70,88,158
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,shila panjavi,58,64,67,-70,87,89,-92,67,89,156
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Amber Sheppard,58,67,70,-72,-84,84,-87,70,84,154
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Grace Lilley,62.4,-65,65,70,80,84,-87,70,84,154
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Sarah Glanvill,57.4,-60,63,-67,85,88,-91,63,88,151
2015 British Senior Championships,2015-06-28,Men's Senior 85Kg,Cyrille Tchatchet II,84.9,140,145,150,0,0,0,150,0,150
2015 British Senior Championships,2015-06-27,Women's Senior 53Kg,JOANNE CALVINO,52.8,63,65,-67,83,85,-87,65,85,150
2015 British Senior Championships,2015-06-28,Women's Senior 75Kg,Emma McCready,74.1,65,69,-73,80,-84,-86,69,80,149
2015 British Senior Championships,2015-06-28,Women's Senior 69Kg,Nicole Talbot,66.6,-63,63,-67,85,-92,-95,63,85,148
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Ania Negele,62,-65,65,70,78,-81,-81,70,78,148
2015 British Senior Championships,2015-06-27,Women's Senior 48Kg,Hannah Powell,45.8,65,-68,-68,-82,-82,82,65,82,147
2015 British Senior Championships,2015-06-27,Women's Senior 53Kg,Noorin Gulam,53,-65,65,-69,-78,-80,80,65,80,145
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Jessica Perrin,57.6,56,60,63,78,-82,-85,63,78,141
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Rosie Hardie,61.8,55,59,-61,75,80,81,59,81,140
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Michelle Davis,56.4,55,57,-60,75,80,82,57,82,139
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Mari Shepherd,56.8,56,59,-60,-78,79,-82,59,79,138
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Amy Salt,61.8,56,60,-63,74,-78,-81,60,74,134
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Vika De Giorgi,57.2,57,61,-65,70,-75,-77,61,70,131
2015 British Senior Championships,2015-06-27,Women's Senior 53Kg,Loridana Bavetta,49.8,53,56,-57,70,-74,74,56,74,130
2015 British Senior Championships,2015-06-27,Women's Senior 53Kg,Jenna Mckean,52.6,55,58,-61,72,-75,-75,58,72,130
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Jodey Hughes,57.4,-58,58,-62,71,-75,-77,58,71,129
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Poi Fakcha,57.4,-58,58,-63,71,-75,-75,58,71,129
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,Aidan Birch,93,125,-130,-135,0,0,0,125,0,125
2015 British Senior Championships,2015-06-27,Women's Senior 48Kg,Kelly-Jo Robson,47.6,51,53,55,62,65,0,55,65,120
2015 British Senior Championships,2015-06-27,Women's Senior 48Kg,Lisa Tobias,46.8,48,-51,-51,65,68,-72,48,68,116
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Jade Hill,60.6,67,70,-73,-80,-81,-82,70,0,70
2015 British Senior Championships,2015-06-28,Women's Senior 75Kg,Lina Duseviciene,73.4,68,-72,-72,-88,-88,-88,68,0,68
2015 British Senior Championships,2015-06-27,Women's Senior 58Kg,Laura Wheatcroft,55.6,-65,65,68,-82,-87,-87,68,0,68
2015 British Senior Championships,2015-06-28,Women's Senior 75Kg,Louise Webster,74.3,-78,-78,-78,0,0,0,0,0,0
2015 British Senior Championships,2015-06-28,Men's Senior 77Kg,Kristian McPhee,77,-106,-106,-106,0,0,0,0,0,0
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,Charlie Stone,92.3,-120,-122,-122,0,0,0,0,0,0
2015 British Senior Championships,2015-06-27,Men's Senior 94Kg,jordon haydon,92.8,-120,-120,-120,0,0,0,0,0,0
2015 British Senior Championships,2015-06-28,Men's Senior 105Kg,Jacob Fast,102.5,-135,-135,-135,0,0,0,0,0,0
2015 British Senior Championships,2015-06-27,Men's Senior 62Kg,Seth Casidsid,56.6,-83,-83,-83,0,0,0,0,0,0
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Katariina Latvala,62.2,-63,-63,-63,0,0,0,0,0,0
2015 British Senior Championships,2015-06-27,Women's Senior 63Kg,Jessica Tea,62.2,-62,-62,-62,0,0,0,0,0,0
