event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Winter Invitational,2022-11-19,Men's Under 23 96Kg,(Eugene) Wei Chien Teoh,96,100,105,-112,125,130,-135,105,130,235
Winter Invitational,2022-11-19,Men's Under 23 89Kg,Tom Grant,86.7,-88,90,-100,114,-120,125,90,125,215
Winter Invitational,2022-11-19,Women's Senior 71Kg,Lianne Brown,70.8,72,-75,76,91,94,95,76,95,171
Winter Invitational,2022-11-19,Men's Under 23 81Kg,Jay Lacey,80.4,62,69,-72,78,82,86,69,86,155
Winter Invitational,2022-11-19,Men's Senior 102Kg,Daniel Whitford,100,53,57,62,80,85,89,62,89,151
Winter Invitational,2022-11-19,Men's Senior 81Kg,Marcin Wenger,78.6,63,67,-70,75,80,-85,67,80,147
Winter Invitational,2022-11-19,Women's Junior Under 20 76Kg,Emily Thompson-Chisnall,75.7,42,45,47,57,60,63,47,63,110
Winter Invitational,2022-11-19,Women's Junior Under 20 55Kg,paloma daniel,54.1,-39,39,-43,50,53,56,39,56,95
Winter Invitational,2022-11-19,Women's Youth Under 17 64Kg,Lucy White,63.2,27,30,33,40,44,47,33,47,80
Winter Invitational,2022-11-19,Women's Youth Under 15 55Kg,Connie Maggs,49.5,17,20,22,21,25,28,22,28,50
