event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Senior 109Kg,Rhodri West,105.6,115,120,125,150,157,162,125,162,287
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Senior 73Kg,Antonio Capavanni,71.7,-103,-103,103,-125,-125,125,103,125,228
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Youth Under 17 89Kg,Luke Fletcher,83.2,92,96,101,114,119,-125,101,119,220
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 96Kg,Oliver White,94.4,96,100,103,114,117,-121,103,117,220
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Masters (35-39) 81Kg,Philip Pitman,80.3,-96,96,-101,-123,123,-124,96,123,219
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Senior 67Kg,Samir Furqan,66.9,92,-96,96,-120,-122,122,96,122,218
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 81Kg,Lewis Thomas,76.6,87,91,-95,120,125,-130,91,125,216
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Senior 96Kg,Lewis Wong,95.4,91,96,100,110,115,-120,100,115,215
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Senior 109Kg,Robert Haley,107.3,80,85,90,115,-125,125,90,125,215
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 102Kg,Harry  Davies,98.5,90,94,-98,110,115,120,94,120,214
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 89Kg,Cian Erry,87.8,75,79,82,101,106,111,82,111,193
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Junior Under 20 89Kg,Jack Statton,87.4,-75,79,-82,104,109,-114,79,109,188
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 89Kg,James Rooney,88.6,75,-79,79,94,99,104,79,104,183
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Senior 81Kg,Edmund Warwick,79.5,-77,78,81,-95,95,101,81,101,182
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 73Kg,Tom Grant,71.8,-73,76,80,93,98,-103,80,98,178
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Junior Under 20 89Kg,Joshua Smith,82.2,75,78,81,85,-90,90,81,90,171
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Senior 81Kg,Jonathan Oliver,78.9,62,65,-68,85,-90,93,65,93,158
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 73Kg,Harry  Sheers ,70.8,66,69,-72,78,83,-88,69,83,152
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Youth Under 15 81+Kg,Grace Morris,94.7,53,56,60,75,80,83,60,83,143
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Senior 59Kg,Lauren Palmer,58.2,60,63,-65,71,-76,77,63,77,140
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Senior 59Kg,Lauren Smith,58.4,57,-60,62,73,-76,76,62,76,138
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Youth Under 15 61Kg,Jorgie Hughes-lynch,60.1,53,56,60,70,-75,76,60,76,136
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Senior 64Kg,Elinor Edwards,63.3,48,50,52,66,69,-72,52,69,121
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Junior Under 20 59Kg,Alys Le Roux,58,46,-49,-49,53,55,-60,46,55,101
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Under 23 64Kg,Danielle Frith,62.6,-43,-43,44,-52,52,56,44,56,100
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Junior Under 20 71Kg,Ashleigh Garfield,67.4,38,41,-44,53,-56,-56,41,53,94
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Junior Under 20 76Kg,Emily Storey,75.5,39,-42,42,49,52,-55,42,52,94
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Youth Under 15 49Kg,Thomas Duggan,44.2,38,40,43,47,50,-53,43,50,93
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Men's Under 23 61Kg,Hrithik Reddy,60.4,38,42,-46,47,50,-54,42,50,92
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Junior Under 20 64Kg,scarlett james,63.6,32,35,38,50,-53,53,38,53,91
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Senior 59Kg,Samantha Luehrs,55.8,37,39,-41,48,50,-52,39,50,89
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Junior Under 20 55Kg,emma brooks,53.6,36,38,40,44,47,-50,40,47,87
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-04,Women's Youth Under 17 55Kg,Elin-haf Tossell,49.2,34,37,-40,42,-47,-47,37,42,79
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-03,Women's Youth Under 15 64Kg,Evelyn Thomas,62.5,56,58,-60,0,0,0,58,0,0
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-03,Women's Masters (40-44) 87+Kg,Caroline Buckle,106.7,65,70,72,0,0,0,72,0,0
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-03,Women's Masters (40-44) 87+Kg,Gemma Kemble-Stephenson,125.6,80,-83,83,0,0,0,83,0,0
Welsh Winter Weightlifting and Para Powerlifting Open 2022,2022-12-03,Men's Masters (45-49) 109Kg,scott taylor,104.8,125,-130,130,0,0,0,130,0,0
