event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 96Kg,Jack Dobson,95.6,133,138,141,170,175,180,141,180,321
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 109Kg,Kun Mo Yang,104,107,109,111,120,125,127,111,127,238
2022 BWL Open Series First Quarter,2022-03-31,Men's Masters (35-39) 81Kg,Ramadan Sayed Rabeh,79.4,105,108,110,-120,-125,128,110,128,238
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 109Kg,Ben Slessor,103.2,95,100,105,105,110,-111,105,110,215
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 96Kg,Jules Hobbs,94,86,93,100,105,0,0,100,105,205
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 96Kg,Taylor Probets,92.7,80,85,91,95,100,109,91,109,200
2022 BWL Open Series First Quarter,2022-03-31,Men's Junior Under 20 81Kg,dylan cheema,79.7,80,85,90,105,110,0,90,110,200
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 73Kg,Wang Jianghaonan,71.65,80,85,90,90,100,110,90,110,200
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 102Kg,Euan McGuigan,99.5,90,0,0,105,0,0,90,105,195
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 96Kg,Alexander Lewis,89.8,80,85,0,106,110,0,85,110,195
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 96Kg,George Dean,91.4,80,85,-87,100,106,-110,85,106,191
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 96Kg,Harry  Davies,91.7,76,81,86,95,100,-105,86,100,186
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 89Kg,Adam Esa,85.2,75,80,0,95,100,105,80,105,185
2022 BWL Open Series First Quarter,2022-03-31,Men's Junior Under 20 89Kg,Benjamin Daniel Derek Harrington,83.8,70,80,0,-95,103,0,80,103,183
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 89Kg,Rory Watson,89,83,0,0,100,-112,0,83,100,183
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 81Kg,Gergo Kocsis,77.3,70,75,80,90,95,100,80,100,180
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 81Kg,Michael Ho,80.8,75,80,0,95,100,-105,80,100,180
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 81Kg,Nathan Wren,76.3,70,74,-76,-100,103,105,74,105,179
2022 BWL Open Series First Quarter,2022-03-31,Men's Senior 81Kg,Rupert Ironside-Smith,74.7,70,75,-77,95,100,103,75,103,178
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 81Kg,Elliott Brown,75,73,75,-77,100,103,-106,75,103,178
2022 BWL Open Series First Quarter,2022-03-31,Women's Masters (35-39) 71Kg,Heather Burt,69.95,71,74,-77,93,96,0,74,96,170
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 67Kg,Jack Clarke,64.5,-70,75,78,85,-90,92,78,92,170
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 73Kg,Finn McSwiggan,69.6,73,0,0,92,0,0,73,92,165
2022 BWL Open Series First Quarter,2022-03-31,Men's Under 23 73Kg,Ioannis Sarantellis Komninellis,72.9,65,70,75,90,0,0,75,90,165
2022 BWL Open Series First Quarter,2022-03-31,Men's Masters (40-44) 81Kg,Niall Meenan,79.9,60,65,70,80,85,0,70,85,155
2022 BWL Open Series First Quarter,2022-03-31,Women's Under 23 64Kg,Catrin Jones,61.4,60,63,65,80,84,87,65,87,152
2022 BWL Open Series First Quarter,2022-03-31,Women's Senior 81Kg,Laura Millard,78.1,63,67,0,78,80,83,67,83,150
2022 BWL Open Series First Quarter,2022-03-31,Men's Youth Under 17 73Kg,Ethan Henrey,69.7,58,60,0,75,79,-83,60,79,139
