event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Spartan Summer Slam,2022-08-06,Men's Under 23 96Kg,Andrew Cox,94.05,112,118,122,145,-149,149,122,149,271
Spartan Summer Slam,2022-08-06,Men's Junior Under 20 96Kg,Aiden Sheeran,90.45,103,108,112,135,145,-152,112,145,257
Spartan Summer Slam,2022-08-06,Men's Senior 102Kg,Nikolay Gergov,99.05,110,-114,-115,138,-143,-143,110,138,248
Spartan Summer Slam,2022-08-06,Men's Senior 81Kg,Lucas Clarke,75.25,100,-105,-105,-132,132,-137,100,132,232
Spartan Summer Slam,2022-08-06,Men's Senior 96Kg,Murray Wallace,95.25,95,100,-105,120,125,-130,100,125,225
Spartan Summer Slam,2022-08-06,Men's Masters (40-44) 73Kg,Robert Oneill,71.6,88,-92,-93,112,-117,-117,88,112,200
Spartan Summer Slam,2022-08-06,Men's Junior Under 20 67Kg,ally mcgrath,65.15,80,-84,85,102,-106,110,85,110,195
Spartan Summer Slam,2022-08-06,Men's Senior 73Kg,Jed Casco,73,75,-82,82,103,-110,110,82,110,192
Spartan Summer Slam,2022-08-06,Men's Masters (45-49) 89Kg,Andrew MacIntyre,85.45,75,78,-81,95,100,-103,78,100,178
Spartan Summer Slam,2022-08-06,Men's Masters (50-54) 61Kg,Colin Selfridge,60,60,63,-66,77,80,-82,63,80,143
Spartan Summer Slam,2022-08-06,Women's Masters (40-44) 76Kg,Emma Wilkins,75.65,60,-63,63,76,79,-82,63,79,142
Spartan Summer Slam,2022-08-06,Women's Masters (35-39) 71Kg,Julie Wilson,65.45,57,60,-63,73,77,-80,60,77,137
Spartan Summer Slam,2022-08-06,Women's Senior 87Kg,Stephanie Thompson,85.95,58,-60,60,75,-78,-78,60,75,135
Spartan Summer Slam,2022-08-06,Women's Senior 71Kg,Elize  McCulloch ,68.65,50,53,56,68,72,-77,56,72,128
Spartan Summer Slam,2022-08-06,Women's Senior 59Kg,Hannah Rutherford,58.35,53,55,-57,72,-75,-75,55,72,127
Spartan Summer Slam,2022-08-06,Women's Under 23 87+Kg,Madeleine Rolle-Binnie,96.8,50,53,56,63,66,-69,56,66,122
Spartan Summer Slam,2022-08-06,Women's Under 23 55Kg,Vasiliki Katsorida,54.55,48,51,53,63,66,-68,53,66,119
Spartan Summer Slam,2022-08-06,Women's Senior 71Kg,Phoebe Thorpe,66.9,45,50,-55,60,65,-70,50,65,115
Spartan Summer Slam,2022-08-06,Women's Under 23 71Kg,Alex Easson,69.55,48,51,-53,60,63,-66,51,63,114
Spartan Summer Slam,2022-08-06,Men's Masters (65-69) 81Kg,David Slater,75.2,35,-38,-38,40,43,-45,35,43,78
Spartan Summer Slam,2022-08-06,Women's Masters (65-69) 71Kg,Lucinda Moore-Fox,70,30,32,33,42,-44,44,33,44,77
Spartan Summer Slam,2022-08-06,Women's Masters (60-64) 81Kg,claire cameron,76.9,31,-32,-32,41,43,45,31,45,76
Spartan Summer Slam,2022-08-06,Women's Masters (60-64) 59Kg,Christine  McFarlane,57.7,-23,-23,23,31,-34,34,23,34,57
Spartan Summer Slam,2022-08-06,Women's Masters (65-69) 71Kg,Marian Keogh,66.65,18,21,-24,21,24,-26,21,24,45
Spartan Summer Slam,2022-08-06,Men's Senior 67Kg,Samir Furqan,67,-95,-95,-95,0,0,0,0,0,0
