event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Senior 105Kg,Solomon Ocquaye,105,110,115,-120,-137,137,142,115,142,257
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Under 23 105Kg,Niklas Orr,105,90,94,97,121,126,130,97,130,227
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Senior 94Kg,George Barsby,94,83,86,-90,-120,120,-125,86,120,206
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Senior 105Kg,Thomas Bane,105,83,87,91,102,108,113,91,113,204
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Senior 105Kg,Ed Kirk,105,80,-84,-84,105,110,-115,80,110,190
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Senior 85Kg,Robert Overney,85,73,-77,-78,102,-107,-107,73,102,175
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 75Kg,Heather Forde,75,70,75,80,90,-95,95,80,95,175
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Junior Under 20 85Kg,Dominic Hatton-Woods,85,65,65,-73,87,92,-97,65,92,157
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Under 23 90Kg,Dawn Barlow,90,62,66,-68,88,-93,-93,66,88,154
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 58Kg,Emma Pendle,58,63,66,-68,75,-78,-78,66,75,141
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 63Kg,Lesley Brown,63,54,-57,57,-78,80,-83,57,80,137
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Under 23 69Kg,Sophie Cath,69,55,58,61,67,70,75,61,75,136
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Senior 85Kg,Simon Smith,85,52,-57,57,65,70,-75,57,70,127
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 69Kg,Tanya Couldwell,69,45,50,55,65,-71,71,55,71,126
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 69Kg,Elly Skinner,69,50,55,-60,60,65,-69,55,65,120
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 69Kg,Holly Stidston,69,45,48,51,57,60,-64,51,60,111
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 63Kg,Jo McEwan,63,42,45,48,55,58,61,48,61,109
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Junior Under 20 69Kg,Lucy Pearce,69,40,42,45,48,-52,52,45,52,97
Plymouth Barbell Autumn Open 2017,2017-10-14,Men's Senior 85Kg,Rhys Peters,85,-75,-75,-75,90,95,-100,0,95,95
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 53Kg,Jennifer Amores,53,-38,38,-42,55,-57,-58,38,55,93
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 63Kg,Sarah Burgess,63,30,33,-35,44,47,-50,33,47,80
Plymouth Barbell Autumn Open 2017,2017-10-14,Women's Senior 58Kg,Noni Hunter,58,30,33,-36,40,45,-50,33,45,78
